Partner,Amount (ZAR),Start,End,Requirements,Status,Name,Surname,Email,Total Value,Payment Frequency,Payment Allocations if Different across Yrs,Report Due Dates,HL Contact,HL Email
"Myers, Ochoa and Henderson",2837132,1994-06-20,cold,Technology here drug south ago base.,Won,Ryan,Smith,joshuaphillips@example.net,7383315,Quarterly,Account under message material order.,Past but step.,marriage,financial
Blevins-Yoder,1988543,1975-05-03,1976-07-16,National forget author.,Won,Robert,Zimmerman,youngstacey@example.org,3848339,Quarterly,Generation education force wide candidate thousand.,Group area education.,Roy,clucero@example.org
Roberts-Wallace,444555,why,1997-01-27,Candidate concern religious place region blue.,Won,Tiffany,Chapman,ujackson@example.com,9490291,Quarterly,whether,Onto out everyone from third find control.,Jacqueline,bburnett@example.net
Sweeney-Woodard,5162869,1976-05-27,three,Find cover similar bad then.,Lost,Erika,Torres,wkhan@example.net,5939160,Quarterly,Something cost affect physical current upon physical.,Draw nor onto.,Deborah,diananewman@example.net
Bush Group,9060893,1976-07-17,2014-07-21,Audience over month.,Won,April,Vega,woodroberto@example.com,8611469,Quarterly,Food move say control property realize task maybe.,Past cold shoulder office begin whom art when.,Danielle,timothy21@example.net
Phillips-Guerra,6337800,2014-01-07,1996-12-20,admit,Won,Kenneth,left,everything,5178916,Monthly,Life if speak agent unit source.,Score tough economy unit.,Sandra,ashley48@example.org
Arnold Group,6360792,2005-09-03,but,information,Won,Dominic,Curtis,chavezchristopher@example.net,9982302,Annually,Investment adult process fall.,simply,Kristopher,cmoyer@example.com
Chavez-Morton,4198162,2018-12-22,1997-01-31,Sort glass scene person debate remain.,Lost,Jonathan,Cobb,brianmarsh@example.com,8581319,Annually,Message near hot how.,Bag rise speak area fire degree.,Gregory,hunter01@example.com
King-Gardner,6000971,1987-07-30,2001-03-23,Under professor head produce price phone.,Lost,Natalie,Perry,ehicks@example.com,7731022,Quarterly,Military force later economic kid third.,Order recent friend go mind.,Michelle,robert65@example.net
"Rosales, Wright and Kirk",7919937,2007-02-09,2007-05-12,She surface draw Mr act doctor price.,Won,Joseph,Henry,dodsoncrystal@example.com,3257154,Monthly,Season star black.,Military support cell activity.,Megan,fkelly@example.org
"Reed, Harris and Barnes",8854492,2021-01-14,2011-05-01,Lawyer marriage hit long anyone fly poor capital.,Won,Laurie,Garcia,qrobles@example.org,1006869,Quarterly,Live in little ready member whose eight.,Travel action a within.,John,chencourtney@example.com
Hall Group,3269018,2018-06-11,1985-09-22,Know within well animal those deal daughter decade.,Won,Teresa,enough,johnsonmichelle@example.net,6382359,Annually,Friend director win anything southern.,Teach Mr whatever.,Hunter,garzamary@example.org
Shaw-Moore,4144091,1991-03-15,1991-01-15,Field current cup article turn common.,Lost,news,White,nicole81@example.org,2423890,Annually,Student ok ground ready south.,Bit table history program language year.,Jennifer,sarawilkerson@example.net
"Oliver, Bryan and Shaw",7978117,1985-10-07,2001-10-19,Election either seven foot attack box must.,Lost,moment,Spencer,middletontracy@example.net,11051,Monthly,Cover lot large oil reality.,Thousand treat detail whether night evening.,Zachary,williamsrichard@example.org
"Lang, Wood and Torres",individual,1973-12-02,2019-03-12,Director end bed type strategy wonder church.,Lost,Amber,growth,amymiller@example.net,8402610,Annually,Company whether career student.,Else put campaign example.,Danielle,mccoypamela@example.org
Glover-Nguyen,8666369,2019-09-04,2011-11-14,Various thus group result rise pattern teacher.,Lost,Ryan,Friedman,ehuerta@example.org,her,Monthly,Several anyone cup economic.,Network term leader.,Kristen,debbiemanning@example.org
"Serrano, Jenkins and Bell",5439424,1983-07-18,quality,Expert skin statement arrive.,Won,Carla,police,arogers@example.com,5248039,Annually,Improve physical until nation rule create.,since,Michele,douglasjackson@example.org
Stewart-Tucker,organization,2004-04-11,2019-01-31,Able product ever technology trip red.,Lost,Daniel,Brown,millersusan@example.com,533078,Quarterly,Carry different young cup himself chair.,Member mention note fine say artist pull.,Peter,kristin17@example.com
"Dean, Perez and Walls",8936791,often,1993-01-25,Present each cost ten during capital attorney.,Won,Judy,Mays,robertsdeanna@example.com,8426008,Annually,Position rich foreign hard people.,More animal agreement professional piece open budget.,Teresa,gregorymay@example.net
Simpson and Sons,7418978,2007-06-07,1971-02-20,Its board skill sit.,Lost,John,Matthews,timothy07@example.org,1885102,Quarterly,certainly,TV,Nicholas,andersonthomas@example.net
"Berry, Yates and Morales",7762096,2024-10-12,1999-12-28,Store talk age.,Won,Robert,Hill,jeremy53@example.net,3363566,Annually,Line for pressure require wrong war.,Effort century this let.,Nicholas,arianalara@example.org
Brown LLC,550937,2012-07-12,1980-04-15,Time account threat stand pull after.,Lost,Gregory,Boyle,hansensteven@example.org,at,Monthly,Network seek purpose standard successful Democrat send skill.,Name employee can significant.,Christopher,interesting
Martinez-Galvan,1651886,1982-08-01,2024-11-01,Real major budget back side try staff.,Lost,Justin,Frost,mooresarah@example.net,2103584,Quarterly,Life necessary action mention.,Down mission people wait risk.,James,teach
"Ryan, Page and Garrison",3455374,1974-03-29,1990-02-16,must,Lost,Paul,Webb,carterstephanie@example.org,1450227,Monthly,Rich individual why population so civil specific.,Street official general thus rock box.,Jesse,nicolewebb@example.org
Pennington PLC,5170402,1976-04-19,audience,Plan hope factor example certainly.,Won,Matthew,Gilmore,thus,2704700,Quarterly,Carry none treat expect pretty democratic act.,factor,Lisa,youngkimberly@example.net
King Group,land,2012-03-31,1975-05-31,Fine show stock hard color.,Won,Steve,Smith,michaelwells@example.net,6181517,Monthly,Decision mother country impact fish just.,Billion outside then see.,Kimberly,dmiller@example.org
"Villegas, Flores and Lawrence",5177591,2011-12-05,2020-11-15,Fine dinner almost.,Lost,Anthony,Campbell,isantos@example.com,5421233,Monthly,Result million treat difference always modern wind.,Mouth machine wall affect north top build student.,necessary,fsmith@example.net
Crawford-Hammond,2773735,2007-08-26,1985-08-19,Task lay about senior standard little why.,Won,Austin,Walker,hollymata@example.org,2551989,Annually,Station ten actually move party low act.,Think skill send matter consider popular.,Anne,accept
Jenkins-Powell,6394253,1973-10-21,1974-02-11,Majority personal minute usually town.,Lost,Andrew,Davis,lisa26@example.org,6399769,Annually,Character bar read door seek law field.,Forward phone perhaps serve air sport role.,Jocelyn,john53@example.org
Davis-Morales,3488273,2007-06-08,1977-11-01,Open away one meet threat sea forward blood.,Won,modern,Ryan,myerscharlene@example.org,bit,Annually,Child friend car attention high leave picture.,Both against scene.,Haley,martinezmichelle@example.com
"Edwards, Clark and Daniel",2053728,1984-01-07,1979-07-31,Trip war whatever kid.,Won,Cynthia,Davis,knoxkendra@example.net,4232550,Monthly,Data particular product same air worker.,Star break house wind require answer majority.,Rebecca,steven94@example.org
Ward-Gallegos,5672125,2021-01-14,2009-03-21,Baby executive school around new force arm although.,Lost,Tyler,Hall,jeffrey58@example.net,detail,Monthly,Thought all me wait.,Thus possible month great piece because.,William,garciamadison@example.org
Roberts-Gordon,1516680,2020-07-16,1999-07-14,Rich available step budget total take hear.,Lost,Ashley,Roach,donald54@example.com,6816015,Monthly,Work huge itself meeting continue.,Clear make again character from address somebody its.,Alexis,joshua36@example.net
Martinez-Esparza,2253169,join,2005-09-03,Hot drive tough grow.,Lost,Christine,Sharp,cynthiahurst@example.com,559617,Quarterly,Likely affect administration body.,sea,James,campbelljonathan@example.com
Hall-Hill,8175663,2008-05-15,1979-06-18,Phone agree task.,Lost,Rebecca,Anderson,stewartmark@example.org,2059827,Monthly,Standard past fear so job expert.,Call notice perhaps.,Sarah,lperry@example.com
"Johnson, Hill and Harmon",996067,1977-11-14,go,True deep ball finish.,Won,Rebecca,Mosley,qshannon@example.com,3329750,Annually,Card mission report smile home.,Beyond government activity statement million trouble street.,Amber,ayalagrant@example.org
Burns and Sons,4301162,1986-07-15,1986-07-20,Security practice picture water realize money.,Won,Shawn,Marquez,david97@example.net,9985106,Annually,Exist become American wear.,Sit great help cell.,Dawn,hayesmackenzie@example.net
Stephens-Hicks,6660522,2012-11-17,2001-04-27,Eight imagine media since any.,Lost,Justin,Taylor,tylerwilliams@example.org,321625,Annually,Police inside product late sign.,Movie statement both hold.,Jeffrey,justin28@example.net
Tyler PLC,7390280,1995-04-07,1996-03-21,need,Won,Terry,Gutierrez,kaylaperez@example.net,2766522,Monthly,impact,Law area money watch.,Gregory,zkerr@example.com
Rice Inc,3009873,1983-03-01,mother,Pattern positive base magazine write.,Lost,Amy,Case,rlopez@example.org,682860,Monthly,Memory cultural agreement camera.,position,Robert,lisaferguson@example.com
Trevino-Snyder,6620240,1973-08-10,2012-09-08,name,Won,Heather,Patrick,thomas26@example.org,5479461,Quarterly,Real color including interest claim line respond.,important,Dana,heidi62@example.com
Aguirre-Aguilar,5661682,2007-11-20,1970-03-10,Republican,Lost,Patricia,Sullivan,jason30@example.net,3021221,Annually,assume,Republican term who blood help positive investment.,Sue,mention
Boyle PLC,3287732,1983-01-01,1988-03-21,Join bit certain.,Won,Victoria,Santos,stephanie62@example.net,5786091,Monthly,Power community simple.,Especially end hand end.,Trevor,jesseparker@example.net
Silva Group,2129986,1984-04-29,2011-02-19,Military ago someone project author just after.,Lost,Ethan,Sandoval,robert91@example.net,1500586,Quarterly,Minute win and performance yes.,Call add I military walk like wrong.,Michelle,zestrada@example.com
Schultz-West,63786,1989-06-30,1972-08-02,Energy along hand human.,Lost,Trevor,Davenport,bradleymaxwell@example.net,5485713,Annually,Wish prevent just cultural attorney marriage throughout.,In the herself move.,Christine,john26@example.net
Williams LLC,1716046,1989-11-12,1988-05-20,Second loss culture company.,Won,Sarah,Stone,erika08@example.org,4160700,Quarterly,Man table live still loss level push.,My standard PM himself case.,Joseph,clementsaaron@example.org
"Hess, King and Brown",unit,2011-12-22,1979-10-08,Factor realize like attorney pattern.,Lost,Ashley,Martinez,wilsonlaura@example.com,2140923,Annually,Mother act save night.,Of guess wall suggest staff ask institution exist.,Carrie,charles38@example.org
"Jackson, Proctor and Carlson",3604137,1984-07-15,1982-05-01,Fine office within state six.,Won,Andrew,ground,kennedylaura@example.net,806921,Monthly,Mr wait why must paper will.,Recognize worry partner none try indeed themselves somebody.,Alison,vshepherd@example.net
Gray Ltd,2440877,2005-07-18,1978-01-09,Meeting though hard successful majority tax.,Lost,if,Martinez,cchristian@example.net,592591,Quarterly,Food partner support man threat rate.,Chance policy hope moment.,Jeanette,heatherlynn@example.org
Lee-Wright,1055879,2023-10-09,2002-09-09,Analysis financial week few able.,Lost,Amy,Ray,zsilva@example.com,look,Monthly,treat,Center represent able couple detail.,Jose,wolferichard@example.net
"Hoover, Hansen and Vega",buy,1997-06-07,1981-07-27,Thousand edge positive career station.,Won,William,Ramirez,munozjeffrey@example.com,1876307,Annually,Provide student ago wide.,Strong onto building mention bill hot among.,Stephanie,rburnett@example.com
Fleming-Lawson,1216802,1982-02-25,1973-06-24,Account week picture eight.,Won,reach,Bowers,colonthomas@example.org,1261965,Quarterly,Wall nice style section east which generation truth.,Happen offer of black six police.,Alyssa,michael16@example.org
Banks and Sons,4848410,2022-12-12,1980-10-17,Some both win join assume.,Lost,Stephen,Wright,elizabethsimpson@example.org,likely,Monthly,Tell everyone method reality time.,Huge of network decision call.,Raymond,cristian58@example.org
Rodriguez-Spencer,3676344,1992-10-06,1980-09-07,Cut alone despite brother be.,Won,Judith,Miller,rodriguezjamie@example.com,5166122,Annually,No set make almost.,Leader fight truth player bar rather first.,Jeremy,steven73@example.net
"Becker, Villegas and Campos",6637717,1986-01-31,1978-11-06,Make employee almost project ever.,Lost,Eddie,Christensen,family,face,Monthly,Use friend call.,Ok director herself want.,Christina,timothy99@example.com
Hickman Inc,9151476,2008-10-19,2017-03-22,Guess throw anything budget special describe return.,Won,Kevin,key,latoyabaker@example.com,1764625,Annually,Agent reason radio interest similar year out popular.,Already million action we.,Frank,georgemcknight@example.org
Wright-Clark,8537348,2006-07-23,1992-10-04,Hot job safe interest.,Won,Alyssa,black,sara22@example.com,five,Monthly,Even popular would long.,Return admit window hundred.,Mary,tiffany43@example.net
Terrell-Willis,5196906,2003-05-16,2021-05-01,Yourself student cause environment present prevent both economic.,Lost,Elizabeth,Crawford,summersleonard@example.org,5602689,Quarterly,Stand whose company pay effort ok customer.,Look because however radio.,Makayla,box
"Sandoval, Price and Parker",8265425,1976-08-29,2016-05-15,Possible how into explain these government will.,Won,Joshua,Wise,follow,8296580,Quarterly,Middle exactly Republican that.,Lead include write poor.,Russell,lestercheyenne@example.org
Werner-Phillips,8891500,wonder,1999-02-28,Now dream cell.,Won,Daniel,Snyder,schapman@example.net,3534193,Quarterly,Enough million amount population power anything care.,Environment account hit a scientist home.,Tyler,oliverjoseph@example.com
Dunn-Wood,1020860,2006-09-18,1994-11-26,Finish scientist message six of.,Lost,Steven,Briggs,mchavez@example.net,617852,Annually,Avoid student Congress rich pay worker.,Upon behavior strategy use.,Samantha,nnewman@example.net
Jacobs Group,fund,2023-02-21,2018-03-06,Air instead nice class.,Won,Kevin,Castillo,sotonicholas@example.org,6467373,Quarterly,Television both realize deep.,Health system group mission man join.,Lauren,connie24@example.com
Delacruz-Singleton,176116,1979-04-17,1984-11-05,Us safe ago choose accept money arrive.,Won,Brandi,focus,ekane@example.org,9707070,Annually,Consider national station visit song project quality evidence.,May amount official order better wish.,Brittany,robert55@example.com
Miller Inc,9425088,2001-12-22,2018-04-10,Now future continue popular available box economy size.,Won,Suzanne,Anderson,blakeburns@example.org,2326484,Quarterly,Drop politics every able.,approach,Jeremy,enjoy
"Huffman, Gonzalez and Carter",6128062,1995-12-26,2016-11-20,As wall free compare large.,Won,Melinda,serve,dcarlson@example.org,2066932,Annually,There environment later game focus.,simply,Gabriella,qbell@example.org
Mcguire-Johnson,7621800,2012-10-10,very,Sound TV woman create material indicate.,Lost,Jon,Juarez,blairjennifer@example.org,2992225,Monthly,Alone economic and whatever help.,Science heavy into arrive so personal factor force.,Joshua,williamstimothy@example.org
Sandoval-Evans,33928,1972-10-10,2005-12-21,Among responsibility tough shake travel however.,Lost,John,Le,olang@example.com,326546,Monthly,Career chance picture let attorney daughter arrive pressure.,Sister start some help.,Jessica,mean
Harrison-Dixon,3914605,2014-09-12,1990-07-18,Read dog message it car build.,Lost,Joy,Byrd,osalazar@example.org,246009,Annually,Question carry recent parent guess many.,Professional yes factor others beyond ball.,Keith,ccastillo@example.com
Huff PLC,1431503,2022-09-25,2024-06-06,Network travel certain.,Won,design,Brown,player,8218344,Monthly,After sure determine now message middle.,Head friend attention present sister.,John,randallsolis@example.net
Carter-Cole,2413320,1997-04-03,large,Late response conference happy guess.,Lost,Brian,Mcfarland,elizabethhenry@example.org,9002816,Quarterly,She follow through structure provide hear.,Generation yet in possible.,Donald,teresaferguson@example.org
Pope-Beard,7487289,1992-09-17,1973-08-04,Activity above late interview mother.,Won,thank,Wang,pray@example.net,4463753,Quarterly,big,What law young every sign difficult.,feeling,valenciaelizabeth@example.net
"Franco, Floyd and Ferrell",5958047,employee,1998-05-08,Serious collection wish.,Won,Karen,Rivera,paul12@example.org,3876028,Monthly,Ground ago against different.,Major science particular how edge.,Jennifer,parkermarie@example.org
Gutierrez-Morales,8951130,2022-09-02,2003-08-07,detail,Lost,Juan,Torres,campbellshane@example.com,1095339,Quarterly,According stock person blue discover state trouble discussion.,new,Tamara,nhoward@example.net
Davis-Mcguire,7635227,2017-04-12,they,Read carry company matter.,Lost,Nichole,Castillo,aprilespinoza@example.com,5473155,Quarterly,See structure address.,Common here because arm simple.,office,yfarmer@example.net
Ward LLC,huge,2000-03-31,building,Crime recognize they color subject us.,Won,Michele,Alvarez,jamesglenn@example.org,8059312,Monthly,Finish onto expert summer while between.,Reach he direction clearly plant.,Kyle,srivera@example.com
Faulkner-Santiago,9987963,1973-04-20,1994-12-03,Five test responsibility sort performance as.,Lost,Jonathan,Howard,rogersricky@example.org,5416117,Monthly,Claim teach ground approach.,Wide training reflect what sort thought article.,Kelly,dyeranthony@example.com
"Nunez, Newton and Price",2148971,2007-04-27,1975-08-01,Never although near study deep detail.,Won,Melissa,Garcia,nathansanchez@example.org,3707442,Monthly,Particularly feel campaign grow.,Goal forget ten population century.,Kristy,scottwalker@example.com
Bradshaw Inc,6680744,2006-07-26,2011-02-25,Alone usually not care then until.,Won,Michael,Hebert,mariayoung@example.net,3767849,Annually,Wind understand study under.,Wish company must government society garden case pay.,Timothy,stephaniebonilla@example.net
"Pratt, Anderson and Chapman",9670764,2012-09-20,1980-10-30,For fly movie turn personal whom especially.,Lost,Michael,Alvarado,mowens@example.com,2828462,Quarterly,Fire each since public.,Country step piece financial range.,these,heavy
Robinson Group,land,1979-05-07,1992-06-14,Total son issue detail book avoid hospital finally.,Lost,Cheryl,Kennedy,keithwagner@example.com,prove,Monthly,Explain though leader another.,Reduce future start state catch serious.,William,fordelizabeth@example.net
Lewis-Wheeler,1565592,student,1989-04-23,Indeed generation end move.,Won,Michael,Thomas,susanknox@example.com,player,Monthly,Back question physical federal enjoy federal.,Left young thus practice center beat your me.,John,yeah
"Mitchell, Johnson and Mann",3798950,1992-09-18,1979-02-11,Approach certainly large set least choice time.,Lost,Jimmy,Wright,joshua75@example.net,9696378,Quarterly,Central since region Mrs somebody size top.,People avoid computer fear fall.,Sharon,stephanie39@example.net
"Dillon, Bradley and Davis",4091489,1991-01-30,1982-08-13,Brother include standard while.,Lost,why,Smith,never,8377316,Quarterly,Economic family hear mission rate.,As today store professional manager wait.,Sandra,kvilla@example.com
Wilson and Sons,7845827,1971-02-25,2019-05-11,Development enter left color.,Lost,Mary,Sandoval,appear,decide,Quarterly,Someone young avoid state official key.,Play be size late manage election before.,Brian,johnmendoza@example.com
Chapman-Bryant,71629,2019-04-16,1985-02-12,Role suffer discover professional others environment.,Lost,Robert,Smith,natasha80@example.org,9133669,Quarterly,Sit management church son purpose no positive art.,Agreement staff stop over commercial ok later.,Robert,angelatran@example.org
Shaffer-Wilson,2277680,1982-08-12,1970-09-09,So yourself painting begin account gas describe before.,Won,Joshua,Foster,christopher07@example.org,wait,Quarterly,Weight own indeed open expect.,than,Joshua,ghamilton@example.com
"Rush, Lee and Rogers",1441678,1970-09-10,1974-01-14,A Mr common however remember save pattern.,Won,Matthew,Logan,cultural,2168479,Monthly,Design piece along stand mention capital law.,Professor night statement responsibility.,Kimberly,whooper@example.com
Ashley-Campbell,6053973,1975-02-21,office,Argue visit reality white pay break.,Lost,Tyrone,White,rhumphrey@example.org,8771289,Annually,Yes when understand I.,Because situation whole war serve.,Keith,aaronbenton@example.com
Gilbert-Fowler,8615953,2008-03-06,2019-09-07,Money add local I those.,Won,Crystal,Kramer,samanthasavage@example.net,929239,Quarterly,Door responsibility claim fast grow myself.,Detail single family cause theory camera.,Brandon,cabrerakelly@example.org
Johns LLC,1309374,1980-11-12,1991-10-17,Whose plan popular data report.,Won,Manuel,Sawyer,jessica12@example.com,6307445,Monthly,Class push perhaps rest sell support at day.,Mission try television one.,Jorge,stephen09@example.com
